Date,GRADE,GPS,GE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-09-15,55.11210027622813,A,87.67138671875,87.4480224609375,87.08505859375,85.09430541992188,81.07594055175781,80.97841278076172,75.40315172195434
2003-09-16,55.21732117969361,A,89.15117645263672,87.8780029296875,87.50107803344727,85.38468017578126,81.25016555786132,81.0543824005127,75.49479364395141
2003-09-17,55.36729561072713,A,88.56485748291016,88.26331024169922,87.6686004638672,85.7015811920166,81.43667709350586,81.12310188293458,75.58063619613648
2003-09-18,55.305232019515614,A,89.65375518798828,88.61510620117187,87.88917617797851,85.9738109588623,81.65557586669922,81.21241912841796,75.67520078659058
2003-09-19,55.120933845363474,A,89.15117645263672,88.83847045898438,88.13766555786133,86.25999870300294,81.86833251953125,81.29726539611816,75.77271505355834
2003-09-22,54.87436224317512,A,87.67138671875,88.83847045898438,88.14324645996093,86.47638397216797,82.05595993041992,81.37424903869629,75.85012979507447
2003-09-23,54.33169306180306,A,88.11810302734375,88.63185577392578,88.25492935180664,86.71091804504394,82.27318389892578,81.44765525817871,75.93565046310425
2003-09-24,53.496051301871034,A,86.02407836914062,88.12369995117187,88.19350509643554,86.85889854431153,82.46472076416016,81.5076107788086,76.0153442955017
2003-09-25,52.22120062697127,A,85.34977722167969,87.26290435791016,87.93900527954102,86.98293533325196,82.65840713500977,81.57136436462402,76.09521734237671
2003-09-26,50.450489407005875,P,83.91702270507812,86.21607360839843,87.5272720336914,87.05069122314453,82.78546600341797,81.60608848571778,76.16041532516479
2003-09-29,49.87666688669203,P,85.32173156738281,85.746142578125,87.29230651855468,87.18868255615234,82.9752410888672,81.65569175720215,76.2356414604187
2003-09-30,48.47043772503437,P,83.74849700927734,84.87222137451172,86.75203857421874,87.12655830383301,83.11959091186523,81.70121345520019,76.30846380233764
2003-10-01,48.38455476406842,P,86.05216979980469,84.87783966064453,86.5007698059082,87.08468513488769,83.3094563293457,81.76810760498047,76.39280450820922
2003-10-02,48.68586637488435,P,86.38929748535156,85.0857437133789,86.17432403564453,87.03175010681153,83.50494766235352,81.84197883605957,76.4792409324646
2003-10-03,49.77378072703803,P,86.58598327636719,85.61953582763672,85.91780471801758,87.02773513793946,83.64908905029297,81.93529296875,76.5723021888733
2003-10-06,50.10705222487445,P,86.50166320800781,85.85552215576172,85.80083236694335,86.97203941345215,83.79489395141601,82.03608581542969,76.6676936531067
2003-10-07,51.2716323434553,P,86.10832214355469,86.32748718261719,85.59985427856445,86.92739181518554,83.95907821655274,82.12795204162597,76.76318250656128
2003-10-08,51.15647398022033,P,84.84413146972656,86.08587951660157,85.48185958862305,86.83768234252929,84.09406982421875,82.21078254699707,76.85235040664674
2003-10-09,50.72995886046032,P,84.64745330810547,85.73751068115234,85.41162719726563,86.67531623840333,84.19888290405274,82.28804008483887,76.92498617172241
2003-10-10,49.42214827054526,P,82.371826171875,84.89467926025391,85.25710754394531,86.39218978881836,84.25706588745118,82.34503791809082,76.9873448753357
2003-10-13,47.73563710420601,P,81.27616119384766,83.84957885742188,84.8525505065918,86.07242851257324,84.29221908569336,82.3910791015625,77.03528123855591
2003-10-14,46.373874779665805,P,82.28755950927734,83.0854263305664,84.70645675659179,85.72924766540527,84.38557235717774,82.42864875793457,77.09033849716187
2003-10-15,45.09627437255825,P,81.0513916015625,82.32687835693359,84.20637893676758,85.35357437133788,84.46090255737305,82.45496643066406,77.14471872329712
2003-10-16,44.07841576758801,P,81.5290298461914,81.70319366455078,83.72035217285156,84.94733810424805,84.52344970703125,82.48661506652832,77.19598333358765
2003-10-17,43.486700625925664,P,80.20858001708984,81.27054443359376,83.08261184692383,84.50020828247071,84.55958786010743,82.49257675170898,77.24408571243286
