Date,GRADE,GPS,AES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-09-22,59.75142359230924,P,13.805027961730955,13.976389122009277,13.957196903228759,14.150151491165161,13.94280185699463,13.211765995025635,12.389290924072265
2006-09-25,59.88833818454959,P,14.140893936157228,14.006547737121583,13.98118715286255,14.140554904937744,13.954865684509278,13.231506967544556,12.405467615127563
2006-09-26,60.03410948422036,A,14.188884735107422,14.02985496520996,14.020258617401122,14.137127876281738,13.971453819274902,13.251522264480592,12.422192692756653
2006-09-27,60.078595340627096,A,14.188884735107422,14.057274436950683,14.036024570465088,14.126503467559814,13.983380794525146,13.271674594879151,12.439431862831116
2006-09-28,60.07087261853885,A,14.11347770690918,14.087433815002441,14.041507816314697,14.104226350784302,13.993936805725097,13.291963968276978,12.455814175605774
2006-09-29,60.12541167522485,A,13.97638702392578,14.121705627441406,14.049047374725342,14.077150964736939,13.996952686309815,13.307112436294556,12.47092839717865
2006-10-02,59.71939020634923,A,13.853007316589355,14.064128303527832,14.035338020324707,14.043906593322754,13.993662509918213,13.32054732322693,12.485425720214844
2006-10-03,59.457412712632255,A,14.140893936157228,14.054530143737793,14.042192554473877,14.025741910934448,13.995581741333007,13.337409477233887,12.501328201293946
2006-10-04,59.38802806466691,P,14.161463737487791,14.049045944213868,14.053160190582275,14.022314834594727,14.003670120239258,13.355985260009765,12.517779088020324
2006-10-05,59.404142998127156,P,14.099774360656738,14.046305274963379,14.06686954498291,14.022657632827759,14.013677806854249,13.37319016456604,12.533852972984313
2006-10-06,59.48067064403353,P,13.948970794677734,14.04082202911377,14.081263828277589,14.019230365753174,14.020121116638183,13.390326480865479,12.549344210624694
2006-10-09,59.86926501179204,A,14.07921028137207,14.086062622070312,14.075095462799073,14.028141307830811,14.029443435668945,13.40753140449524,12.565486645698547
2006-10-10,60.17465046221602,A,14.31911563873291,14.12170696258545,14.088118553161621,14.054188585281372,14.043563861846923,13.428643369674683,12.581560516357422
2006-10-11,60.41344434783638,A,14.43564224243164,14.176542663574219,14.112794303894043,14.074409437179565,14.06152265548706,13.452085886001587,12.595852212905884
2006-10-12,60.5543694721878,A,14.312260627746582,14.219039916992188,14.132672595977784,14.08709020614624,14.076602611541748,13.473197832107545,12.610075378417969
2006-10-13,60.85090995269878,A,14.236861228942873,14.276618003845215,14.158720016479492,14.103883695602416,14.111149463653565,13.49218493461609,12.622996163368224
2006-10-16,61.06488700027635,A,14.408230781555176,14.342422103881836,14.214242362976075,14.12479019165039,14.124173183441162,13.512885732650757,12.637767696380616
2006-10-17,61.05289763180696,A,14.46306037902832,14.371211051940918,14.246459007263184,14.144325780868531,14.135140380859376,13.53447748184204,12.65319037437439
2006-10-18,61.04319577280538,A,14.607003211975098,14.40548324584961,14.291012954711913,14.172086572647094,14.144736709594726,13.55442416191101,12.669504146575928
2006-10-19,61.27884176727314,A,14.72353744506836,14.487738609313965,14.353389263153076,14.210129404067994,14.158582954406738,13.574165267944336,12.687154579162598
2006-10-20,61.62355648889541,A,14.901748657226562,14.620716094970703,14.448667049407959,14.264965438842774,14.179420680999756,13.59459174156189,12.705010619163513
2006-10-23,61.95727665007421,A,15.01827621459961,14.74272518157959,14.542573642730712,14.308834552764893,14.203274345397949,13.617348766326904,12.723449296951294
2006-10-24,62.21684969008433,A,14.922310829162598,14.834575271606445,14.602893161773682,14.345505857467652,14.222055625915527,13.638460645675659,12.741819429397584
2006-10-25,62.36753730030092,A,14.936020851135254,14.900378799438476,14.652931022644044,14.382862663269043,14.24056282043457,13.660052404403686,12.759058556556703
2006-10-26,62.286385473779866,A,14.84691047668457,14.92505340576172,14.706396007537842,14.419534301757812,14.260852165222168,13.683083591461182,12.77269905090332
2006-10-27,61.99270236519578,A,14.894892692565918,14.92368221282959,14.772199153900146,14.46545958518982,14.277851371765136,13.70659460067749,12.786716561317444
2006-10-30,61.62468180379354,A,14.86061954498291,14.89215087890625,14.81743803024292,14.515840196609497,14.291971645355225,13.729625749588013,12.800631246566773
2006-10-31,61.573795059274346,A,15.073118209838867,14.922312355041504,14.878443813323974,14.56245141029358,14.30773717880249,13.756906805038453,12.815779781341552
2006-11-01,61.62498248616785,A,15.12109088897705,14.959326362609863,14.92985258102417,14.610432767868042,14.325421772003175,13.785627241134643,12.833053178787232
