Date,GRADE,GPS,BKNG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-06-04,55.82986139551631,P,2299.142822265625,2307.24453125,2318.321826171875,2274.9797241210936,2342.53568359375,2270.420614013672,2093.8225622558593
2021-06-07,54.74220386205431,P,2282.095458984375,2294.728564453125,2313.3615234375,2276.7380615234374,2341.4864306640625,2272.2007019042967,2095.749047241211
2021-06-08,54.11302394462897,P,2287.2783203125,2289.8556640625,2309.859716796875,2279.521044921875,2340.8678857421874,2273.597647705078,2097.610054321289
2021-06-09,54.090124222833445,P,2297.5244140625,2289.08916015625,2306.5892578125,2286.5608764648437,2340.554541015625,2275.1267419433593,2099.4236517333984
2021-06-10,54.67739037274015,P,2307.84033203125,2294.77626953125,2305.5636474609373,2292.3780151367187,2339.40263671875,2277.2565173339844,2101.305111694336
2021-06-11,54.65325621794384,P,2287.90380859375,2292.528466796875,2299.8864990234374,2293.464709472656,2337.852001953125,2279.6208044433592,2103.2244482421875
2021-06-14,55.18463953880911,P,2288.56884765625,2293.82314453125,2294.2758544921876,2297.5299560546873,2335.7840869140623,2282.466423339844,2105.1471099853516
2021-06-15,55.64097789698811,A,2285.5107421875,2293.46962890625,2291.662646484375,2302.0146728515624,2333.400439453125,2285.631640625,2107.184248046875
2021-06-16,55.718910310309475,A,2281.8076171875,2290.32626953125,2289.70771484375,2303.4155883789062,2331.168310546875,2289.7235913085938,2109.304786987305
2021-06-17,55.218737824458884,P,2277.607666015625,2284.279736328125,2289.5280029296873,2302.8173828125,2328.50765625,2292.3040185546874,2111.6747790527343
2021-06-18,54.72959798390742,P,2226.5849609375,2272.015966796875,2282.272216796875,2300.297021484375,2324.38830078125,2295.2655053710937,2113.952734375
2021-06-21,54.14900267509919,P,2246.89892578125,2263.681982421875,2278.7525634765625,2296.0570434570313,2321.4895654296874,2297.9721264648438,2116.3280395507813
2021-06-22,53.116347633940336,P,2234.815673828125,2253.54296875,2273.506298828125,2291.6830078125,2318.4436865234375,2299.8125805664063,2118.63096496582
2021-06-23,51.92492685131213,P,2230.22900390625,2243.22724609375,2266.7767578125,2286.6830078125,2314.314609375,2301.9867358398437,2120.813359375
2021-06-24,51.08696222213632,P,2230.178955078125,2233.74150390625,2259.0106201171875,2282.2871337890624,2310.601728515625,2303.607966308594,2123.0920587158203
2021-06-25,51.56813313551467,P,2265.35595703125,2241.495703125,2256.7558349609376,2278.3211669921875,2306.724833984375,2305.44712890625,2125.8193298339843
2021-06-28,50.69657170549633,P,2188.796875,2229.87529296875,2246.7786376953127,2270.52724609375,2301.7277978515626,2306.4895263671874,2128.5604010009765
2021-06-29,49.97297951307189,P,2156.668212890625,2214.24580078125,2233.894384765625,2262.778515625,2298.2962939453123,2307.3524169921875,2131.0335516357422
2021-06-30,49.644926279816985,P,2172.45458984375,2202.69091796875,2222.95908203125,2256.3333984375,2294.927744140625,2307.8124072265623,2133.762014770508
2021-07-01,49.720620212218904,P,2194.22802734375,2195.500732421875,2214.6211181640624,2252.074560546875,2292.206728515625,2308.3163818359376,2136.53927734375
2021-07-02,49.3560085282125,P,2222.891357421875,2187.0078125,2214.2517578125,2248.2619873046874,2289.0982958984373,2309.1931689453127,2139.4241137695312
2021-07-05,50.29230831325656,P,2222.891357421875,2193.826708984375,2211.8510009765623,2245.3017822265624,2284.74244140625,2310.0699560546873,2142.097322998047
2021-07-06,51.26249996228526,P,2206.440185546875,2203.781103515625,2209.0134521484374,2241.259875488281,2279.94041015625,2310.4488330078125,2144.8243969726564
2021-07-07,50.812740933189126,P,2151.286865234375,2199.54755859375,2201.11923828125,2233.947998046875,2273.222158203125,2309.7836181640623,2147.0885510253906
2021-07-08,49.71116269555852,P,2148.457275390625,2190.393408203125,2192.9470703125,2225.9788452148437,2266.5201953125,2308.831767578125,2149.178211669922
2021-07-09,48.646316028590775,B,2179.30517578125,2181.676171875,2184.3419921875,2220.5489135742187,2261.1371337890623,2307.858173828125,2151.5823083496093
2021-07-12,47.75593819807241,B,2188.2509765625,2174.748095703125,2184.28740234375,2215.5330200195312,2256.44212890625,2306.408408203125,2154.0505938720703
2021-07-13,47.00998683708258,B,2172.802001953125,2168.020458984375,2185.90078125,2209.8975830078125,2252.5799267578127,2304.7113208007813,2156.4271392822266
2021-07-14,47.32010554258781,B,2161.066650390625,2169.976416015625,2184.7619873046874,2203.8605346679688,2249.376982421875,2302.0615893554686,2158.501063232422
2021-07-15,48.118085309372866,B,2153.88818359375,2171.06259765625,2180.7280029296876,2197.674560546875,2247.1934912109373,2301.0309057617187,2160.3903649902345
2021-07-16,47.85286086572139,B,2129.394287109375,2161.080419921875,2171.3782958984375,2192.8150268554687,2243.57234375,2299.2061376953125,2162.0128369140625
2021-07-19,46.041516392009605,B,2052.77587890625,2133.985400390625,2154.366748046875,2183.1088745117186,2239.689287109375,2296.694709472656,2163.117635498047
2021-07-20,45.5493031670591,B,2115.20654296875,2122.46630859375,2145.2433837890626,2177.12841796875,2237.361044921875,2295.18775390625,2164.8524493408204
2021-07-21,46.647744970529914,B,2178.35205078125,2125.923388671875,2147.94990234375,2174.5345703125,2237.7935302734377,2294.383837890625,2167.1431127929686
2021-07-22,47.65976663521718,B,2178.7294921875,2130.891650390625,2150.9771240234377,2171.9620971679688,2237.5381689453125,2294.1362182617186,2169.587024536133
2021-07-23,49.17641559363497,B,2186.831298828125,2142.379052734375,2151.729736328125,2168.0358642578126,2235.951396484375,2293.098388671875,2172.2414208984374
2021-07-26,52.90334198248011,C,2214.759765625,2174.775830078125,2154.380615234375,2169.3340087890624,2236.1013134765626,2291.7278466796874,2175.1091796875
2021-07-27,55.382293098277955,C,2230.139404296875,2197.76240234375,2160.11435546875,2173.007568359375,2236.7877734375,2290.5304638671873,2177.961054077148
2021-07-28,55.63470136801205,C,2210.42138671875,2204.17626953125,2165.0498291015624,2174.905908203125,2235.9204150390624,2289.110783691406,2180.5638214111327
2021-07-29,55.33140266720701,C,2198.51708984375,2208.1337890625,2169.5127197265624,2175.120361328125,2234.0993212890626,2287.644138183594,2182.6603326416016
2021-07-30,54.52814358662382,C,2162.69482421875,2203.306494140625,2172.8427734375,2172.1105346679688,2231.8133740234375,2285.432255859375,2184.4212084960936
2021-08-02,52.67745452542351,C,2155.42724609375,2191.439990234375,2183.10791015625,2168.7373291015624,2228.28794921875,2282.765849609375,2186.5143939208983
2021-08-03,50.19330660105101,B,2124.00341796875,2170.21279296875,2183.98759765625,2164.6154907226564,2224.32208984375,2280.211535644531,2188.706517944336
2021-08-04,47.682125773289776,B,2070.73681640625,2142.27587890625,2173.22607421875,2160.58798828125,2219.13224609375,2276.477014160156,2191.092297973633
2021-08-05,47.765428027560915,B,2191.934326171875,2140.959326171875,2174.5465576171873,2162.7618408203125,2216.60900390625,2275.0945629882813,2193.9589166259766
2021-08-06,48.29187019838073,B,2167.381103515625,2141.89658203125,2172.6015380859376,2162.165637207031,2213.0631201171873,2274.0544482421874,2196.7412915039063
2021-08-09,48.53298988116412,B,2142.361083984375,2139.283349609375,2165.361669921875,2159.871142578125,2209.0168359375,2273.3186450195312,2199.4897601318357
2021-08-10,50.11165203141544,B,2184.746337890625,2151.43193359375,2160.82236328125,2160.468359375,2206.47890625,2273.174384765625,2202.1252435302736
2021-08-11,52.78831326790123,C,2184.497802734375,2174.184130859375,2158.2300048828124,2161.6399169921874,2204.1417236328125,2273.1494653320315,2204.5423474121094
2021-08-12,52.516003133239565,C,2177.498046875,2171.296875,2156.1281005859373,2162.82041015625,2202.1035888671877,2272.3974755859376,2206.651466674805
2021-08-13,52.797650635426145,C,2187.675048828125,2175.3556640625,2158.626123046875,2165.7344482421877,2199.8742333984374,2271.2049584960937,2208.734822998047
2021-08-16,52.09606724013293,C,2115.663330078125,2170.01611328125,2154.6497314453127,2168.8788208007813,2196.5455908203126,2269.0160107421875,2208.7976220703126
2021-08-17,50.24446579741868,C,2098.169189453125,2152.70068359375,2152.06630859375,2168.026953125,2192.763408203125,2266.8156469726564,2209.3229907226564
2021-08-18,47.656598739732715,B,2071.402099609375,2130.08154296875,2152.1328369140624,2162.6794555664064,2188.2409619140626,2264.3977514648436,2209.751358642578
2021-08-19,45.265683163600066,B,2061.02685546875,2106.7873046875,2139.04208984375,2156.794323730469,2183.3046923828124,2261.353664550781,2210.312024536133
2021-08-20,42.47099163800424,B,2059.914306640625,2081.23515625,2128.29541015625,2150.4484741210936,2178.74490234375,2258.2984521484377,2210.420591430664
2021-08-23,42.1717400894341,B,2122.04736328125,2082.511962890625,2126.2640380859375,2145.812854003906,2175.41447265625,2255.5992797851563,2210.558151245117
2021-08-24,43.65484036140075,B,2217.153076171875,2106.308740234375,2129.5047119140627,2145.163537597656,2174.0473193359376,2253.723879394531,2211.312026977539
2021-08-25,46.31065209870616,B,2247.613525390625,2141.551025390625,2135.8162841796875,2147.02314453125,2173.3634375,2252.2658740234374,2212.4001452636717
2021-08-26,49.87717476996365,C,2260.531005859375,2181.45185546875,2144.119580078125,2150.1238403320312,2173.021904296875,2250.7647802734373,2213.719799194336
2021-08-27,54.15863690499271,C,2288.99560546875,2227.268115234375,2154.2516357421873,2156.4388793945313,2174.2701171875,2249.329208984375,2215.2721252441406
2021-08-30,56.79835271537413,C,2261.43408203125,2255.145458984375,2168.8287109375,2161.739221191406,2174.5608203125,2248.0251928710936,2216.552261352539
2021-08-31,57.96493878468798,A,2283.2373046875,2268.3623046875,2187.3355224609377,2169.7009155273436,2175.5292529296876,2246.9864697265625,2217.5263507080076
2021-09-01,58.257871326438455,A,2270.509033203125,2272.94140625,2207.2462158203125,2179.6895263671877,2176.334853515625,2245.3247314453124,2218.6336334228517
2021-09-02,58.10338087000065,A,2284.021728515625,2277.63955078125,2229.545703125,2184.293896484375,2177.411708984375,2244.00671875,2219.808479614258
2021-09-03,57.22254111455003,A,2287.983154296875,2277.437060546875,2252.352587890625,2190.3239990234374,2177.8642529296876,2242.294543457031,2221.058384399414
2021-09-06,57.028479947021246,A,2287.983154296875,2282.746875,2268.9461669921875,2197.6051025390625,2179.847978515625,2240.7878881835936,2222.4285235595703
2021-09-07,57.12408081275663,A,2321.859375,2290.4712890625,2279.416796875,2204.4607543945312,2183.1518017578123,2240.7240478515623,2223.847809448242
2021-09-08,56.86399132597278,A,2299.400634765625,2296.249609375,2284.5955078125,2210.2058959960937,2185.69072265625,2240.3092333984373,2225.0269708251953
2021-09-09,56.62973007644387,A,2302.1015625,2299.865576171875,2288.7525634765625,2216.436071777344,2187.848193359375,2240.0274609375,2226.1292376708984
2021-09-10,55.977342414635736,A,2288.33056640625,2299.93505859375,2288.6860595703124,2221.46884765625,2189.1569775390626,2239.12763671875,2227.021664428711
2021-09-13,55.546815706232934,A,2305.52685546875,2303.443798828125,2293.0953369140625,2230.962023925781,2190.8096875,2237.776064453125,2227.9814556884767
