Date,GRADE,GPS,PLTR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2024-05-10,41.71779503634372,P,20.600000381469727,21.981999588012695,22.270999717712403,21.891499614715578,23.114799842834472,21.33849992752075,19.070299983024597
2024-05-13,38.016915510894236,P,20.940000534057617,21.12799987792969,22.08199977874756,21.843499660491943,23.05279983520508,21.373799934387208,19.085049986839294
2024-05-14,38.533878334539175,P,21.440000534057617,21.136000061035155,22.028999900817873,21.821499729156493,23.005399856567383,21.411399936676027,19.107049984931948
2024-05-15,38.84277066110044,P,21.670000076293945,21.158000183105468,21.983999824523927,21.839499759674073,22.91559986114502,21.45339994430542,19.139149985313416
2024-05-16,39.67347707122704,P,21.649999618530277,21.260000228881836,21.8939998626709,21.865499782562257,22.81939987182617,21.494299945831298,19.170349984169007
2024-05-17,41.32780111622611,P,21.76000022888184,21.49200019836426,21.736999893188475,21.929999828338623,22.733799858093263,21.540199947357177,19.202099986076355
2024-05-20,42.48110894911632,A,21.6200008392334,21.628000259399414,21.37800006866455,21.96249990463257,22.659199867248535,21.584699954986572,19.23159998893738
2024-05-21,42.56859993794294,A,21.239999771118164,21.588000106811524,21.36200008392334,21.942499923706055,22.58999984741211,21.631299953460694,19.260949988365173
2024-05-22,42.46169311485951,A,21.170000076293945,21.488000106811523,21.323000144958495,21.921499919891357,22.51339984893799,21.682099952697754,19.28954998970032
2024-05-23,42.24285729863726,A,20.71999931335449,21.302000045776367,21.2810001373291,21.87199993133545,22.43919982910156,21.7267999458313,19.32239998817444
2024-05-24,42.08652577136015,P,21.01000022888184,21.15200004577637,21.322000122070314,21.796499919891357,22.389599838256835,21.777099952697753,19.355449991226195
2024-05-27,42.221166412204944,P,21.01000022888184,21.029999923706058,21.329000091552736,21.705499935150147,22.329799842834472,21.82049995422363,19.387999992370606
2024-05-28,42.23779086082238,P,21.049999237060547,20.99199981689453,21.289999961853027,21.65949993133545,22.274799842834472,21.867099952697753,19.41989998817444
2024-05-29,42.08050428549398,P,20.940000534057617,20.945999908447266,21.217000007629395,21.60049991607666,22.202199859619142,21.908599948883058,19.448099989891052
2024-05-30,42.797253659600834,P,21.729999542236328,21.147999954223636,21.225,21.55949993133545,22.146999855041503,21.959099941253662,19.48604998588562
2024-05-31,43.0177209323457,P,21.68000030517578,21.28199996948242,21.217000007629395,21.476999950408935,22.096999855041503,22.008299942016603,19.521799988746643
2024-06-03,42.91297170353198,P,21.31999969482422,21.3439998626709,21.186999893188478,21.282499980926513,22.03319984436035,22.053899936676025,19.55519998550415
2024-06-04,43.65138733826285,P,22.100000381469727,21.554000091552734,21.272999954223632,21.317500019073485,21.977399864196776,22.109599933624267,19.588699989318847
2024-06-05,45.31482095628159,A,22.959999084472656,21.957999801635744,21.451999855041503,21.3875,21.946399841308594,22.17529993057251,19.62184998512268
2024-06-06,47.07782941970026,A,23.790000915527344,22.370000076293945,21.75900001525879,21.520000076293947,21.961999855041505,22.24919994354248,19.665899991989136
2024-06-07,48.67020084566179,A,23.309999465942383,22.695999908447266,21.988999938964845,21.65550003051758,21.967999839782713,22.314499931335448,19.706549987792968
2024-06-10,50.612923926482445,A,23.1299991607666,23.05799980163574,22.20099983215332,21.76499996185303,21.973399810791015,22.36979991912842,19.746299982070923
2024-06-11,51.89978252089395,A,23.850000381469727,23.407999801635743,22.48099994659424,21.885499954223633,21.99599983215332,22.434999923706055,19.789499983787536
2024-06-12,52.351437513905324,A,23.770000457763672,23.570000076293944,22.763999938964844,21.99049997329712,22.017399826049804,22.50519992828369,19.83184998512268
2024-06-13,51.36367337686705,A,23.270000457763672,23.46599998474121,22.91800003051758,22.07150001525879,22.03319984436035,22.5732999420166,19.872149987220766
2024-06-14,51.03466042170199,A,23.56999969482422,23.518000030517577,23.106999969482423,22.16199998855591,22.045399856567382,22.645499935150145,19.91434998512268
2024-06-17,51.93586823272434,A,25.020000457763672,23.89600028991699,23.477000045776368,22.33199996948242,22.085799865722656,22.724799938201905,19.960499987602233
2024-06-18,52.92562345823733,A,25.81999969482422,24.29000015258789,23.848999977111816,22.560999965667726,22.145999870300294,22.815599937438964,20.011649985313415
2024-06-19,54.099223701320604,A,25.81999969482422,24.7,24.135000038146973,22.79349994659424,22.2139998626709,22.91289993286133,20.062749981880188
2024-06-20,55.62569013455258,A,25.559999465942383,25.157999801635743,24.311999893188478,23.03549995422363,22.26839984893799,23.00519992828369,20.11139997959137
2024-06-21,55.562530992049666,A,23.84000015258789,25.211999893188477,24.364999961853027,23.176999950408934,22.291799850463867,23.073399925231932,20.153949980735778
2024-06-24,54.50200218301461,A,24.15999984741211,25.039999771118165,24.46800003051758,23.33449993133545,22.336999855041505,23.14779993057251,20.197449979782103
2024-06-25,52.57856337884696,A,24.559999465942383,24.7879997253418,24.538999938964842,23.50999994277954,22.39059986114502,23.1746999168396,20.244499979019164
2024-06-26,50.28190263997568,A,24.100000381469727,24.4439998626709,24.571999931335448,23.667999935150146,22.446399879455566,23.1796999168396,20.291299982070925
2024-06-27,49.10012702802526,A,25.21999931335449,24.37599983215332,24.766999816894533,23.842499923706054,22.528199882507323,23.186799907684325,20.347399978637696
2024-06-28,49.68756569854988,A,25.32999992370605,24.67399978637695,24.942999839782715,24.02499990463257,22.625399894714356,23.19629991531372,20.40339997768402
2024-07-01,50.24241027097195,A,25.8799991607666,25.017999649047848,25.028999710083006,24.25299987792969,22.723599891662598,23.20459991455078,20.46169997215271
2024-07-02,50.928089120882646,A,25.82999992370605,25.271999740600585,25.02999973297119,24.439499855041504,22.80739990234375,23.222799911499024,20.521049971580506
2024-07-03,51.83825758028498,A,25.850000381469727,25.621999740600586,25.032999801635743,24.583999919891358,22.892599906921387,23.229399909973143,20.576049971580506
2024-07-04,51.503739310915996,A,25.850000381469727,25.747999954223634,25.061999893188478,24.686999893188478,22.97539993286133,23.23379991531372,20.626449971199037
2024-07-05,52.02693467254159,A,27.229999542236328,26.12799987792969,25.40099983215332,24.882999897003174,23.069599914550782,23.261699905395506,20.682599968910218
