Date,GRADE,GPS,SNPS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-03-26,47.06879715528826,B,7.9375,7.19375,7.08125,7.346875,7.865625,8.151875,7.44234375
1993-03-29,47.28662525771944,C,8.125,7.51875,7.18125,7.346875,7.840625,8.15,7.45046875
1993-03-30,47.48653979999195,C,8.34375,7.8375,7.303125,7.3671875,7.824375,8.1528125,7.4584375
1993-03-31,47.61766085430088,C,8.375,8.06875,7.434375,7.3890625,7.821875,8.1540625,7.466875
1993-04-01,47.694345372325394,A,8.3125,8.21875,7.578125,7.4140625,7.8175,8.1559375,7.4765625
1993-04-02,47.70550308804753,A,8.15625,8.2625,7.728125,7.4375,7.813125,8.15625,7.48484375
1993-04-05,47.636860125771484,A,7.8125,8.2,7.859375,7.44375,7.791875,8.1521875,7.49015625
1993-04-06,47.546157815209135,C,7.9375,8.11875,7.978125,7.4703125,7.770625,8.1496875,7.49484375
1993-04-07,47.45242728825602,C,7.9375,8.03125,8.05,7.5046875,7.754375,8.1446875,7.50015625
1993-04-08,47.38683250758998,C,8.125,7.99375,8.10625,7.5578125,7.744375,8.1384375,7.50765625
1993-04-09,47.34477185290882,C,8.125,7.9875,8.125,7.603125,7.738125,8.1334375,7.51515625
1993-04-12,47.36065136321924,C,8.0,8.025,8.1125,7.646875,7.730625,8.1315625,7.52203125
1993-04-13,47.38729922608585,C,8.1875,8.075,8.096875,7.7,7.72,8.133125,7.53078125
1993-04-14,47.3454687875076,B,7.5,7.9875,8.009375,7.721875,7.70125,8.12875,7.53546875
1993-04-15,47.346358849243394,B,8.0,7.9625,7.978125,7.778125,7.7025,8.129375,7.54234375
1993-04-16,47.385404043817694,B,8.21875,7.98125,7.984375,7.85625,7.7125,8.1328125,7.550625
1993-04-19,47.43513830440789,P,8.15625,8.0125,8.01875,7.9390625,7.721875,8.13625,7.56046875
1993-04-20,47.51649726761763,A,8.625,8.1,8.0875,8.0328125,7.74375,8.14625,7.57171875
1993-04-21,47.701268770502736,A,8.75,8.35,8.16875,8.109375,7.7625,8.156875,7.58390625
1993-04-22,47.79913778420731,A,8.75,8.5,8.23125,8.16875,7.785,8.168125,7.59609375
1993-04-23,47.83217461744556,A,8.75,8.60625,8.29375,8.209375,7.79625,8.1765625,7.60796875
1993-04-26,47.84371763915542,A,8.6875,8.7125,8.3625,8.2375,7.80625,8.1815625,7.62015625
1993-04-27,47.83077264814373,A,9.0,8.7875,8.44375,8.2703125,7.835,8.1884375,7.6340625
1993-04-28,47.759978618219044,A,8.625,8.7625,8.55625,8.2828125,7.8625,8.1909375,7.6459375
1993-04-29,47.6873256025832,A,8.5,8.7125,8.60625,8.2921875,7.8775,8.1934375,7.65875
1993-04-30,47.66864119583679,A,8.78125,8.71875,8.6625,8.3234375,7.891875,8.198125,7.67359375
1993-05-03,47.673863315334096,A,8.8125,8.74375,8.728125,8.3734375,7.908125,8.203125,7.689375
1993-05-04,47.67162713949599,A,9.125,8.76875,8.778125,8.4328125,7.933125,8.21125,7.705625
1993-05-05,47.736070038325046,A,9.375,8.91875,8.840625,8.5046875,7.960625,8.221875,7.72234375
1993-05-06,47.8084217946709,A,9.28125,9.075,8.89375,8.5625,7.98625,8.2290625,7.7365625
1993-05-07,47.82398471824911,A,9.125,9.14375,8.93125,8.6125,8.00875,8.2340625,7.7496875
1993-05-10,47.84035296442854,A,9.25,9.23125,8.9875,8.675,8.03125,8.2403125,7.7640625
1993-05-11,47.820008194490754,A,9.1875,9.24375,9.00625,8.725,8.05625,8.245625,7.77875
1993-05-12,47.76382612090606,A,9.125,9.19375,9.05625,8.80625,8.08,8.249375,7.7925
1993-05-13,47.70694510355241,A,8.96875,9.13125,9.103125,8.8546875,8.103125,8.2515625,7.8053125
1993-05-14,47.67301579364769,A,8.9375,9.09375,9.11875,8.890625,8.128125,8.2534375,7.8175
1993-05-17,47.62820289352076,A,9.0,9.04375,9.1375,8.9328125,8.154375,8.2571875,7.8303125
1993-05-18,47.60423511237844,A,9.0,9.00625,9.125,8.9515625,8.18625,8.2628125,7.84375
1993-05-19,47.63296010514782,A,9.5,9.08125,9.1375,8.9890625,8.23125,8.2725,7.859375
1993-05-20,47.784868147465374,A,10.3125,9.35,9.240625,9.0671875,8.29625,8.2890625,7.879375
1993-05-21,47.938981093734874,A,10.25,9.6125,9.353125,9.1421875,8.356875,8.305,7.8990625
