Date,GRADE,GPS,WAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-01-06,48.63640307327024,B,7.5625,7.5625,7.59375,7.565625,7.396875,7.5915625,7.405625
1997-01-07,48.59571663866945,B,7.4375,7.53125,7.575,7.5625,7.391875,7.5934375,7.40875
1997-01-08,48.56640901241921,P,7.4375,7.5,7.55625,7.559375,7.385625,7.5971875,7.41234375
1997-01-09,48.54716018944945,P,7.4375,7.48125,7.534375,7.553125,7.379375,7.5978125,7.41453125
1997-01-10,48.51118875896466,P,7.375,7.45,7.509375,7.5453125,7.373125,7.5946875,7.41640625
1997-01-13,48.46386912049403,B,7.34375,7.40625,7.484375,7.540625,7.366875,7.59125,7.418125
1997-01-14,48.42306150093901,B,7.1875,7.35625,7.44375,7.5265625,7.35875,7.5834375,7.41859375
1997-01-15,48.37766484588314,B,7.15625,7.3,7.4,7.5109375,7.351875,7.576875,7.41828125
1997-01-16,48.32236031742184,B,7.03125,7.21875,7.35,7.478125,7.34625,7.5690625,7.418125
1997-01-17,48.281369075580834,B,7.0625,7.15625,7.303125,7.45,7.33875,7.56125,7.41671875
1997-01-20,48.261742374109836,B,7.15625,7.11875,7.2625,7.428125,7.335625,7.554375,7.41609375
1997-01-21,48.35690260551817,B,7.65625,7.2125,7.284375,7.4296875,7.344375,7.5540625,7.41734375
1997-01-22,48.44670810025584,B,7.59375,7.3,7.3,7.428125,7.34875,7.555625,7.4184375
1997-01-23,48.5779491712452,P,7.71875,7.4375,7.328125,7.43125,7.353125,7.560625,7.4196875
1997-01-24,48.671169392696704,A,7.46875,7.51875,7.3375,7.4234375,7.354375,7.56125,7.42125
1997-01-27,48.75744007606988,A,7.5625,7.6,7.359375,7.421875,7.355625,7.5628125,7.42421875
1997-01-28,48.752988530315385,A,7.6875,7.60625,7.409375,7.4265625,7.36125,7.5640625,7.42828125
1997-01-29,48.73130151509657,A,7.5,7.5875,7.44375,7.421875,7.36375,7.5634375,7.43125
1997-01-30,48.679887579236514,A,7.46875,7.5375,7.4875,7.41875,7.368125,7.560625,7.43390625
1997-01-31,48.66704228307003,A,7.40625,7.525,7.521875,7.4125,7.37125,7.5584375,7.4365625
1997-02-03,48.64853388373596,P,7.46875,7.50625,7.553125,7.4078125,7.380625,7.558125,7.43890625
1997-02-04,48.63134891141933,P,7.59375,7.4875,7.546875,7.415625,7.3975,7.558125,7.44203125
1997-02-05,48.62308022257779,P,7.40625,7.46875,7.528125,7.4140625,7.410625,7.556875,7.4446875
1997-02-06,48.610251286486005,P,7.34375,7.44375,7.490625,7.409375,7.4225,7.5559375,7.44765625
1997-02-07,48.62547425654659,P,7.46875,7.45625,7.490625,7.4140625,7.43625,7.556875,7.450625
1997-02-10,48.60679377868812,P,7.34375,7.43125,7.46875,7.4140625,7.446875,7.556875,7.45203125
1997-02-11,48.54589135171094,P,7.15625,7.34375,7.415625,7.4125,7.453125,7.554375,7.4515625
